t,o,h,l,c,v,s
1735692420,3356.5,3358.65,3356.45,3357.25,10044,ETH_USDT
1735692420,93875.2,93946.4,93869.5,93933.5,39390,BTC_USDT
1735692420,0.31888,0.3192,0.31888,0.31909,7400,DOGE_USDT
1735692420,191.41,191.65,191.41,191.47,739,SOL_USDT
1735692480,93943.2,93951.2,93934.2,93951.2,12683,BTC_USDT
1735692480,0.31908,0.31918,0.31908,0.31915,1267,DOGE_USDT
1735692480,191.55,191.64,191.55,191.64,103,SOL_USDT
1735692480,2.1013,2.1022,2.1013,2.1022,153,XRP_USDT
1735692480,3357.5,3357.5,3356.95,3357,1009,ETH_USDT
1735692540,0.31919,0.31938,0.31919,0.31931,6480,DOGE_USDT
1735692540,93951.2,93970.7,93951.1,93957,105038,BTC_USDT
1735692540,2.102,2.1033,2.102,2.1022,2571,XRP_USDT
1735692540,191.58,191.69,191.58,191.65,136,SOL_USDT
1735692540,3356.95,3357.4,3356.3,3356.3,6107,ETH_USDT
1735692600,3356.05,3359.25,3355.05,3359.1,18876,ETH_USDT
1735692600,93956.9,94065.5,93935.1,94057.3,166932,BTC_USDT
1735692600,2.1008,2.1033,2.1008,2.1033,1288,XRP_USDT
1735692600,0.31928,0.3198,0.31919,0.31969,31670,DOGE_USDT
1735692600,191.6,191.95,191.6,191.84,823,SOL_USDT
1735692660,2.1044,2.1045,2.1027,2.1032,596,XRP_USDT
1735692660,3359.3,3359.6,3357.35,3359.05,10327,ETH_USDT
1735692660,0.31966,0.3198,0.31948,0.31975,27666,DOGE_USDT
1735692660,191.86,191.97,191.82,191.94,210,SOL_USDT
1735692660,94057.2,94168,94050.5,94136.2,184762,BTC_USDT
1735692720,94137.2,94139.5,94110.5,94129.6,46909,BTC_USDT
1735692720,2.1031,2.1086,2.1027,2.1075,994,XRP_USDT
1735692720,0.31978,0.32029,0.31971,0.32018,53544,DOGE_USDT
1735692720,3359.1,3360.55,3357.85,3360.05,15603,ETH_USDT
1735692720,191.94,191.94,191.82,191.84,368,SOL_USDT
